CEP Load (NBSO),CEP Load (ISONE),Year
2231970.89093702,1625761161.41045,1/1/2013
1128966.66666667,45643420.4285714,1/1/2008
8798221.02004608,834271246.432252,1/1/2018
2965957.21966206,1457856899.55361,1/1/2014
968210.307749351,1029421302.57517,1/1/2012
10387582.9493088,32533000,1/1/2006
2831858.75576037,1109923627.36114,1/1/2015
994224.039938556,219216780.029885,1/1/2011
7845623.83388951,1011313832.76274,1/1/2016
8992547.83195085,865880640.805557,1/1/2017
2063419.35483871,43735043.8571429,1/1/2007
476756.989247312,73210043,1/1/2009
8919194.46574501,753731247.987702,1/1/2019
670076.497695852,171607153.714286,1/1/2010
4636737.55984427,405578886.320926,1/1/2020
